,from,to,weight
116725,Sirunyan A.M.,Weiler T.,249
114571,Shalhout S.,Sirunyan A.M.,249
11123,Abdulsalam A.,Sirunyan A.M.,249
63255,Heindl S.M.,Sirunyan A.M.,249
106325,Plagge M.,Sirunyan A.M.,249
47012,Colombo F.,Sirunyan A.M.,249
117058,Sirunyan A.M.,Zoi I.,249
84471,Lacroix F.,Sirunyan A.M.,249
116274,Sirunyan A.M.,Torassa E.,250
95969,Montanari A.,Sirunyan A.M.,250
116508,Sirunyan A.M.,Vavilov S.,250
116295,Sirunyan A.M.,Touquet G.,250
57233,Freund B.,Sirunyan A.M.,250
74155,Karjavine V.,Sirunyan A.M.,251
29207,Borrello L.,Sirunyan A.M.,251
66256,Hung W.T.,Sirunyan A.M.,251
94823,Mendis D.R.,Sirunyan A.M.,252
61806,Hamel de Monchenault G.,Sirunyan A.M.,252
116092,Sirunyan A.M.,Tabarelli de Fatis T.,252
116821,Sirunyan A.M.,Womersley W.J.,253
58161,Garcia-Ferrero J.,Sirunyan A.M.,253
55524,Fasanella G.,Sirunyan A.M.,253
93115,Marco J.,Sirunyan A.M.,253
51719,Domínguez Damiani D.,Sirunyan A.M.,254
122100,Tumasyan A.,Wang J.,254
55986,Fernandez Bedoya C.,Sirunyan A.M.,254
29506,Bouvier E.,Sirunyan A.M.,254
114639,Sharma A.,Tumasyan A.,254
26613,Bhattacharya S.,Tumasyan A.,254
94184,Mcbrayer W.,Sirunyan A.M.,254
116996,Sirunyan A.M.,Zeyrek M.,255
116826,Sirunyan A.M.,Wood J.,255
50485,Deroover K.,Sirunyan A.M.,256
65275,Hrubec J.,Sirunyan A.M.,256
110891,Rohringer H.,Sirunyan A.M.,256
110166,Reinsvold A.,Sirunyan A.M.,256
46802,Colafranceschi S.,Sirunyan A.M.,256
52576,Dudero P.R.,Sirunyan A.M.,256
